state,avg_temperature,avg_relative_humidity,avg_precipitation,avg_cloud_cover,avg_aqi
AK,12.34,76.58,0.03393,61.64,58
AL,57.44,73.92,0.20179,48.15,66
AR,51.42,74.37,0.05476,51.58,79
AZ,63.01,47.06,0.00774,25.49,88
CA,63.72,53.98,0.00119,31.82,110
CO,42.86,46.21,0.00446,34.98,76
CT,43.81,66.34,0.43304,41.49,61
DE,47.71,68.63,0.20268,44.66,66
FL,70.66,83.05,0.0244,47.85,112
GA,59.06,74.02,0.0628,51.62,78
HI,76.79,71.18,0.00536,54.41,88
IA,41.46,62.04,0.01429,37.87,67
ID,39.54,71.87,0.04494,32.55,65
IL,42.15,73.57,0.12083,46.94,54
IN,44.1,73.49,0.17113,54.48,59
KS,45.66,70.89,0.11429,39.99,79
KY,48.16,71.13,0.22708,60.3,55
LA,62.32,76.42,0.15179,60.18,76
MA,40.71,69.6,0.11161,41.39,69
MD,47.6,66.07,0.24375,44.75,75
ME,37.44,74.75,0.20446,42.96,87
MI,40.57,73.23,0.07619,54.24,64
MN,38.27,62.47,0.00119,35.33,54
MO,45.11,67.7,0.05833,47.03,60
MS,59.58,76.6,0.42411,55.25,71
MT,37.64,63.8,0.0,44.31,64
NC,54.45,69.49,0.16905,46.0,64
ND,33.91,65.14,0.0,21.83,57
NE,42.2,64.99,0.0244,35.07,92
NH,38.86,69.65,0.17708,41.07,85
NJ,47.61,60.81,0.26637,45.09,67
NM,51.1,52.3,0.02679,30.96,83
NV,56.45,39.88,0.0,14.07,104
NY,44.3,67.36,0.22143,56.17,65
OH,43.74,74.17,0.13571,61.47,61
OK,50.92,67.9,0.02083,47.46,83
OR,43.51,82.56,0.09107,65.87,50
PA,46.06,70.17,0.17738,51.53,55
RI,43.28,71.24,0.24881,43.02,76
SC,61.81,74.88,0.16429,47.82,98
SD,39.25,54.59,0.00119,26.26,78
TN,51.69,75.36,0.23333,59.62,72
TX,58.72,76.82,0.00298,55.37,90
UT,39.56,77.18,0.09167,41.93,79
VA,52.21,71.86,0.1125,37.65,70
VT,36.46,70.23,0.10595,57.7,63
WA,38.85,82.84,0.03304,58.73,54
WI,40.24,69.9,0.08452,42.28,69
WV,48.47,69.37,0.15446,59.35,57
WY,41.08,50.27,0.00417,26.14,95
